id,latitude,longitude
245,55.935545,-3.420139
246,55.931953,-3.420007
247,55.930156,-3.419941
248,55.92836,-3.419876
249,55.926563,-3.41981
250,55.924767,-3.419744
251,55.922971,-3.419678
252,55.921174,-3.419613
253,55.919378,-3.419547
254,55.917581,-3.419481
255,55.915785,-3.419416
256,55.913989,-3.41935
257,55.912192,-3.419284
258,55.910396,-3.419219
259,55.908599,-3.419153
260,55.906803,-3.419087
261,55.905007,-3.419022
262,55.90321,-3.418956
263,55.8583,-3.417319
264,55.849318,-3.416992
265,55.847522,-3.416926
266,55.845726,-3.416861
267,55.993067,-3.419042
268,55.99127,-3.418976
269,55.989474,-3.41891
270,55.987677,-3.418844
271,55.985881,-3.418778
272,55.984085,-3.418713
273,55.982288,-3.418647
274,55.980492,-3.418581
275,55.978695,-3.418515
276,55.976899,-3.418449
277,55.975103,-3.418384
278,55.973306,-3.418318
279,55.97151,-3.418252
280,55.969713,-3.418186
281,55.967917,-3.418121
282,55.966121,-3.418055
283,55.964324,-3.417989
284,55.962528,-3.417923
285,55.960731,-3.417858
286,55.958935,-3.417792
287,55.957139,-3.417726
288,55.955342,-3.41766
289,55.953546,-3.417595
290,55.95175,-3.417529
291,55.949953,-3.417463
292,55.948157,-3.417398
293,55.94636,-3.417332
294,55.944564,-3.417266
295,55.942768,-3.417201
296,55.940971,-3.417135
297,55.939175,-3.417069
298,55.937379,-3.417004
299,55.935582,-3.416938
300,55.933786,-3.416873
301,55.931989,-3.416807
302,55.930193,-3.416741
303,55.928397,-3.416676
304,55.9266,-3.41661
305,55.924804,-3.416545
306,55.923007,-3.416479
307,55.921211,-3.416414
308,55.919415,-3.416348
309,55.917618,-3.416282
310,55.915822,-3.416217
311,55.914025,-3.416151
312,55.912229,-3.416086
313,55.910433,-3.41602
314,55.908636,-3.415955
315,55.90684,-3.415889
316,55.905043,-3.415824
317,55.903247,-3.415758
318,55.860133,-3.41419
319,55.858337,-3.414125
320,55.856541,-3.414059
321,55.852948,-3.413929
322,55.851152,-3.413864
323,55.849355,-3.413798
324,55.847559,-3.413733
325,55.845762,-3.413668
326,55.843966,-3.413603
327,55.9949,-3.415902
328,55.993103,-3.415837
329,55.991307,-3.415771
330,55.989511,-3.415705
331,55.987714,-3.41564
332,55.985918,-3.415574
333,55.984121,-3.415508
334,55.982325,-3.415443
335,55.980529,-3.415377
336,55.978732,-3.415311
337,55.976936,-3.415246
338,55.975139,-3.41518
339,55.973343,-3.415114
340,55.971547,-3.415049
341,55.96975,-3.414983
342,55.967954,-3.414918
343,55.966157,-3.414852
344,55.964361,-3.414786
345,55.962565,-3.414721
346,55.960768,-3.414655
347,55.958972,-3.41459
348,55.957175,-3.414524
349,55.955379,-3.414458
350,55.953583,-3.414393
351,55.951786,-3.414327
352,55.94999,-3.414262
353,55.948194,-3.414196
354,55.946397,-3.414131
355,55.944601,-3.414065
356,55.942804,-3.414
357,55.941008,-3.413934
358,55.939212,-3.413869
359,55.937415,-3.413803
360,55.935619,-3.413738
361,55.933822,-3.413672
362,55.932026,-3.413607
363,55.93023,-3.413542
364,55.928433,-3.413476
365,55.926637,-3.413411
366,55.92484,-3.413345
367,55.923044,-3.41328
368,55.921248,-3.413214
369,55.919451,-3.413149
370,55.917655,-3.413084
371,55.915858,-3.413018
372,55.914062,-3.412953
373,55.912266,-3.412887
374,55.910469,-3.412822
375,55.908673,-3.412757
376,55.906876,-3.412691
377,55.90508,-3.412626
378,55.903284,-3.412561
379,55.878134,-3.411648
380,55.876338,-3.411582
381,55.861967,-3.411061
382,55.86017,-3.410996
383,55.858374,-3.410931
384,55.856577,-3.410866
385,55.854781,-3.4108
386,55.852985,-3.410735
387,55.851188,-3.41067
388,55.849392,-3.410605
389,55.847595,-3.41054
390,55.845799,-3.410475
391,55.844003,-3.41041
392,55.842206,-3.410345
393,55.99314,-3.412632
394,55.991344,-3.412566
395,55.989547,-3.412501
396,55.987751,-3.412435
397,55.985955,-3.412369
398,55.984158,-3.412304
399,55.982362,-3.412238
400,55.980565,-3.412173
401,55.978769,-3.412107
402,55.976973,-3.412042
403,55.975176,-3.411976
404,55.97338,-3.411911
405,55.971583,-3.411845
406,55.969787,-3.41178
407,55.96799,-3.411715
408,55.966194,-3.411649
409,55.964398,-3.411584
410,55.962601,-3.411518
411,55.960805,-3.411453
412,55.959009,-3.411387
413,55.957212,-3.411322
414,55.955416,-3.411257
415,55.953619,-3.411191
416,55.951823,-3.411126
417,55.950027,-3.41106
418,55.94823,-3.410995
419,55.946434,-3.41093
420,55.944637,-3.410864
421,55.942841,-3.410799
422,55.941045,-3.410734
423,55.939248,-3.410668
424,55.937452,-3.410603
425,55.935656,-3.410538
426,55.933859,-3.410472
427,55.932063,-3.410407
428,55.930266,-3.410342
429,55.92847,-3.410276
430,55.926674,-3.410211
431,55.924877,-3.410146
432,55.923081,-3.410081
433,55.921284,-3.410015
434,55.919488,-3.40995
435,55.917692,-3.409885
436,55.915895,-3.40982
437,55.914099,-3.409754
438,55.912302,-3.409689
439,55.910506,-3.409624
440,55.90871,-3.409559
441,55.906913,-3.409493
442,55.905117,-3.409428
443,55.90332,-3.409363
444,55.878171,-3.408452
445,55.876374,-3.408387
446,55.874578,-3.408322
447,55.8638,-3.407932
448,55.862003,-3.407867
449,55.860207,-3.407802
450,55.85841,-3.407737
451,55.856614,-3.407672
452,55.854818,-3.407607
453,55.853021,-3.407542
454,55.851225,-3.407477
455,55.849428,-3.407412
456,55.847632,-3.407347
457,55.845836,-3.407282
458,55.844039,-3.407217
459,55.842243,-3.407152
460,55.840446,-3.407087
461,55.83865,-3.407022
462,55.993177,-3.409427
463,55.99138,-3.409361
464,55.989584,-3.409296
465,55.987788,-3.40923
466,55.985991,-3.409165
467,55.984195,-3.4091
468,55.982398,-3.409034
469,55.980602,-3.408969
470,55.978806,-3.408903
471,55.977009,-3.408838
472,55.975213,-3.408773
473,55.973416,-3.408707
474,55.97162,-3.408642
475,55.969824,-3.408577
476,55.968027,-3.408512
477,55.966231,-3.408446
478,55.964434,-3.408381
479,55.962638,-3.408316
480,55.960842,-3.40825
481,55.959045,-3.408185
482,55.957249,-3.40812
483,55.955452,-3.408055
484,55.953656,-3.407989
485,55.95186,-3.407924
486,55.950063,-3.407859
487,55.948267,-3.407794
488,55.94647,-3.407728
489,55.944674,-3.407663
490,55.942878,-3.407598
491,55.941081,-3.407533
492,55.939285,-3.407468
493,55.937489,-3.407402
494,55.935692,-3.407337
495,55.933896,-3.407272
496,55.932099,-3.407207
497,55.930303,-3.407142
498,55.928507,-3.407077
499,55.92671,-3.407012
500,55.924914,-3.406946
501,55.923117,-3.406881
502,55.921321,-3.406816
503,55.919524,-3.406751
504,55.917728,-3.406686
505,55.915932,-3.406621
506,55.914135,-3.406556
507,55.912339,-3.406491
508,55.910542,-3.406426
509,55.908746,-3.406361
510,55.90695,-3.406295
